hs_code,country_rate_text,is_control,is_exclusion,effective_date
0101.21.00,"""India,10.0"",""Indonesia,10.0"",""Malaysia,10.0"",""Mexico,10.0"",""China,12.5"",""Thailand,12.5"",""Vietnam,12.5""",1,0,2026/7/24
0101.21.00.10,"""India,10.0"",""Indonesia,10.0"",""Malaysia,10.0"",""Mexico,10.0"",""China,12.5"",""Thailand,12.5"",""Vietnam,12.5""",1,0,2026/7/24
0101.21.00.20,"""India,10.0"",""Indonesia,10.0"",""Malaysia,10.0"",""Mexico,10.0"",""China,12.5"",""Thailand,12.5"",""Vietnam,12.5""",1,0,2026/7/24
0101.29.00,"""India,10.0"",""Indonesia,10.0"",""Malaysia,10.0"",""Mexico,10.0"",""China,12.5"",""Thailand,12.5"",""Vietnam,12.5""",1,0,2026/7/24
0101.29.00.10,"""India,10.0"",""Indonesia,10.0"",""Malaysia,10.0"",""Mexico,10.0"",""China,12.5"",""Thailand,12.5"",""Vietnam,12.5""",1,0,2026/7/24
0101.29.00.90,"""India,10.0"",""Indonesia,10.0"",""Malaysia,10.0"",""Mexico,10.0"",""China,12.5"",""Thailand,12.5"",""Vietnam,12.5""",1,0,2026/7/24
0101.30.00.00,"""India,10.0"",""Indonesia,10.0"",""Malaysia,10.0"",""Mexico,10.0"",""China,12.5"",""Thailand,12.5"",""Vietnam,12.5""",1,0,2026/7/24
0101.90.30.00,"""India,10.0"",""Indonesia,10.0"",""Malaysia,10.0"",""Mexico,10.0"",""China,12.5"",""Thailand,12.5"",""Vietnam,12.5""",1,0,2026/7/24
0101.90.40.00,"""India,10.0"",""Indonesia,10.0"",""Malaysia,10.0"",""Mexico,10.0"",""China,12.5"",""Thailand,12.5"",""Vietnam,12.5""",1,0,2026/7/24
0102.21.00,"""India,10.0"",""Indonesia,10.0"",""Malaysia,10.0"",""Mexico,10.0"",""China,12.5"",""Thailand,12.5"",""Vietnam,12.5""",1,0,2026/7/24
0102.21.00.10,"""India,10.0"",""Indonesia,10.0"",""Malaysia,10.0"",""Mexico,10.0"",""China,12.5"",""Thailand,12.5"",""Vietnam,12.5""",1,0,2026/7/24
0102.21.00.20,"""India,10.0"",""Indonesia,10.0"",""Malaysia,10.0"",""Mexico,10.0"",""China,12.5"",""Thailand,12.5"",""Vietnam,12.5""",1,0,2026/7/24
0102.21.00.30,"""India,10.0"",""Indonesia,10.0"",""Malaysia,10.0"",""Mexico,10.0"",""China,12.5"",""Thailand,12.5"",""Vietnam,12.5""",1,0,2026/7/24
0102.21.00.50,"""India,10.0"",""Indonesia,10.0"",""Malaysia,10.0"",""Mexico,10.0"",""China,12.5"",""Thailand,12.5"",""Vietnam,12.5""",1,0,2026/7/24
0102.29.20,"""India,10.0"",""Indonesia,10.0"",""Malaysia,10.0"",""Mexico,10.0"",""China,12.5"",""Thailand,12.5"",""Vietnam,12.5""",1,0,2026/7/24
0102.29.20.11,"""India,10.0"",""Indonesia,10.0"",""Malaysia,10.0"",""Mexico,10.0"",""China,12.5"",""Thailand,12.5"",""Vietnam,12.5""",1,0,2026/7/24
0102.29.20.12,"""India,10.0"",""Indonesia,10.0"",""Malaysia,10.0"",""Mexico,10.0"",""China,12.5"",""Thailand,12.5"",""Vietnam,12.5""",1,0,2026/7/24
0102.29.40,"""India,10.0"",""Indonesia,10.0"",""Malaysia,10.0"",""Mexico,10.0"",""China,12.5"",""Thailand,12.5"",""Vietnam,12.5""",1,0,2026/7/24
0102.29.40.24,"""India,10.0"",""Indonesia,10.0"",""Malaysia,10.0"",""Mexico,10.0"",""China,12.5"",""Thailand,12.5"",""Vietnam,12.5""",1,0,2026/7/24
0102.29.40.28,"""India,10.0"",""Indonesia,10.0"",""Malaysia,10.0"",""Mexico,10.0"",""China,12.5"",""Thailand,12.5"",""Vietnam,12.5""",1,0,2026/7/24
0102.29.40.34,"""India,10.0"",""Indonesia,10.0"",""Malaysia,10.0"",""Mexico,10.0"",""China,12.5"",""Thailand,12.5"",""Vietnam,12.5""",1,0,2026/7/24
0102.29.40.38,"""India,10.0"",""Indonesia,10.0"",""Malaysia,10.0"",""Mexico,10.0"",""China,12.5"",""Thailand,12.5"",""Vietnam,12.5""",1,0,2026/7/24
0102.29.40.54,"""India,10.0"",""Indonesia,10.0"",""Malaysia,10.0"",""Mexico,10.0"",""China,12.5"",""Thailand,12.5"",""Vietnam,12.5""",1,0,2026/7/24
0102.29.40.58,"""India,10.0"",""Indonesia,10.0"",""Malaysia,10.0"",""Mexico,10.0"",""China,12.5"",""Thailand,12.5"",""Vietnam,12.5""",1,0,2026/7/24
0102.29.40.62,"""India,10.0"",""Indonesia,10.0"",""Malaysia,10.0"",""Mexico,10.0"",""China,12.5"",""Thailand,12.5"",""Vietnam,12.5""",1,0,2026/7/24
0102.29.40.64,"""India,10.0"",""Indonesia,10.0"",""Malaysia,10.0"",""Mexico,10.0"",""China,12.5"",""Thailand,12.5"",""Vietnam,12.5""",1,0,2026/7/24
0102.29.40.66,"""India,10.0"",""Indonesia,10.0"",""Malaysia,10.0"",""Mexico,10.0"",""China,12.5"",""Thailand,12.5"",""Vietnam,12.5""",1,0,2026/7/24
0102.29.40.68,"""India,10.0"",""Indonesia,10.0"",""Malaysia,10.0"",""Mexico,10.0"",""China,12.5"",""Thailand,12.5"",""Vietnam,12.5""",1,0,2026/7/24
0102.29.40.72,"""India,10.0"",""Indonesia,10.0"",""Malaysia,10.0"",""Mexico,10.0"",""China,12.5"",""Thailand,12.5"",""Vietnam,12.5""",1,0,2026/7/24
0102.29.40.74,"""India,10.0"",""Indonesia,10.0"",""Malaysia,10.0"",""Mexico,10.0"",""China,12.5"",""Thailand,12.5"",""Vietnam,12.5""",1,0,2026/7/24
0102.29.40.82,"""India,10.0"",""Indonesia,10.0"",""Malaysia,10.0"",""Mexico,10.0"",""China,12.5"",""Thailand,12.5"",""Vietnam,12.5""",1,0,2026/7/24
0102.29.40.84,"""India,10.0"",""Indonesia,10.0"",""Malaysia,10.0"",""Mexico,10.0"",""China,12.5"",""Thailand,12.5"",""Vietnam,12.5""",1,0,2026/7/24
0102.31.00,"""India,10.0"",""Indonesia,10.0"",""Malaysia,10.0"",""Mexico,10.0"",""China,12.5"",""Thailand,12.5"",""Vietnam,12.5""",1,0,2026/7/24
0102.31.00.10,"""India,10.0"",""Indonesia,10.0"",""Malaysia,10.0"",""Mexico,10.0"",""China,12.5"",""Thailand,12.5"",""Vietnam,12.5""",1,0,2026/7/24
0102.31.00.20,"""India,10.0"",""Indonesia,10.0"",""Malaysia,10.0"",""Mexico,10.0"",""China,12.5"",""Thailand,12.5"",""Vietnam,12.5""",1,0,2026/7/24
0102.39.00,"""India,10.0"",""Indonesia,10.0"",""Malaysia,10.0"",""Mexico,10.0"",""China,12.5"",""Thailand,12.5"",""Vietnam,12.5""",1,0,2026/7/24
0102.39.00.10,"""India,10.0"",""Indonesia,10.0"",""Malaysia,10.0"",""Mexico,10.0"",""China,12.5"",""Thailand,12.5"",""Vietnam,12.5""",1,0,2026/7/24
0102.39.00.24,"""India,10.0"",""Indonesia,10.0"",""Malaysia,10.0"",""Mexico,10.0"",""China,12.5"",""Thailand,12.5"",""Vietnam,12.5""",1,0,2026/7/24
0102.39.00.28,"""India,10.0"",""Indonesia,10.0"",""Malaysia,10.0"",""Mexico,10.0"",""China,12.5"",""Thailand,12.5"",""Vietnam,12.5""",1,0,2026/7/24
0102.39.00.34,"""India,10.0"",""Indonesia,10.0"",""Malaysia,10.0"",""Mexico,10.0"",""China,12.5"",""Thailand,12.5"",""Vietnam,12.5""",1,0,2026/7/24
0102.39.00.38,"""India,10.0"",""Indonesia,10.0"",""Malaysia,10.0"",""Mexico,10.0"",""China,12.5"",""Thailand,12.5"",""Vietnam,12.5""",1,0,2026/7/24
0102.39.00.54,"""India,10.0"",""Indonesia,10.0"",""Malaysia,10.0"",""Mexico,10.0"",""China,12.5"",""Thailand,12.5"",""Vietnam,12.5""",1,0,2026/7/24
0102.39.00.58,"""India,10.0"",""Indonesia,10.0"",""Malaysia,10.0"",""Mexico,10.0"",""China,12.5"",""Thailand,12.5"",""Vietnam,12.5""",1,0,2026/7/24
0102.39.00.61,"""India,10.0"",""Indonesia,10.0"",""Malaysia,10.0"",""Mexico,10.0"",""China,12.5"",""Thailand,12.5"",""Vietnam,12.5""",1,0,2026/7/24
0102.39.00.72,"""India,10.0"",""Indonesia,10.0"",""Malaysia,10.0"",""Mexico,10.0"",""China,12.5"",""Thailand,12.5"",""Vietnam,12.5""",1,0,2026/7/24
