hs_code,product_desc,unit,general_rate,applicable_origin
0101.21.00,Purebred breeding animals,,Free,ALL
0101.21.00.10,Males,"[""No.""]",,ALL
0101.21.00.20,Females,"[""No.""]",,ALL
0101.29.00,Other,,Free,ALL
0101.29.00.10,Imported for immediate slaughter,"[""No.""]",,ALL
0101.29.00.90,Other,"[""No.""]",,ALL
0101.30.00.00,Asses,"[""No.""]",6.80%,ALL
0101.90.30.00,Imported for immediate slaughter,"[""No.""]",Free,ALL
0101.90.40.00,Other,"[""No.""]",4.50%,ALL
0102.21.00,Purebred breeding animals,,Free,ALL
0102.21.00.10,Male,"[""No.""]",,ALL
0102.21.00.20,Female,"[""No.""]",,ALL
0102.21.00.30,Male,"[""No.""]",,ALL
0102.21.00.50,Female,"[""No.""]",,ALL
0102.29.20,Cows imported specially for dairy purposes,,Free,ALL
0102.29.20.11,Weighing less than 90 kg each,"[""No."",""kg""]",,ALL
0102.29.20.12,Weighing 90 kg or more each,"[""No."",""kg""]",,ALL
0102.29.40,Other,,1¢/kg,ALL
0102.29.40.24,Male,"[""No."",""kg""]",,ALL
0102.29.40.28,Female,"[""No."",""kg""]",,ALL
0102.29.40.34,Male,"[""No."",""kg""]",,ALL
0102.29.40.38,Female,"[""No."",""kg""]",,ALL
0102.29.40.54,Male,"[""No."",""kg""]",,ALL
0102.29.40.58,Female,"[""No."",""kg""]",,ALL
0102.29.40.62,Steers,"[""No."",""kg""]",,ALL
0102.29.40.64,Bulls,"[""No."",""kg""]",,ALL
0102.29.40.66,Cows,"[""No."",""kg""]",,ALL
0102.29.40.68,Heifers,"[""No."",""kg""]",,ALL
0102.29.40.72,Male,"[""No."",""kg""]",,ALL
0102.29.40.74,Female,"[""No."",""kg""]",,ALL
0102.29.40.82,Male,"[""No."",""kg""]",,ALL
0102.29.40.84,Female,"[""No."",""kg""]",,ALL
0102.31.00,Purebred breeding animals,,Free,ALL
0102.31.00.10,Male,"[""No.""]",,ALL
0102.31.00.20,Female,"[""No.""]",,ALL
0102.39.00,Other,,1¢/kg,ALL
0102.39.00.10,Bison,"[""No."",""kg""]",,ALL
0102.39.00.24,Male,"[""No."",""kg""]",,ALL
0102.39.00.28,Female,"[""No."",""kg""]",,ALL
0102.39.00.34,Male,"[""No."",""kg""]",,ALL
0102.39.00.38,Female,"[""No."",""kg""]",,ALL
0102.39.00.54,Male,"[""No."",""kg""]",,ALL
0102.39.00.58,Female,"[""No."",""kg""]",,ALL
0102.39.00.61,For immediate slaughter,"[""No."",""kg""]",,ALL
0102.39.00.72,Male,"[""No."",""kg""]",,ALL
0102.39.00.74,Female,"[""No."",""kg""]",,ALL
0102.39.00.82,Male,"[""No."",""kg""]",,ALL
0102.39.00.84,Female,"[""No."",""kg""]",,ALL
0102.90.00.00,Other,"[""No."",""kg""]",1¢/kg,ALL
0103.10.00.00,Purebred breeding animals,"[""No.""]",Free,ALL
0103.91.00,Weighing less than 50 kg each,,Free,ALL
0103.91.00.10,Weighing less than 7 kg each,"[""No."",""kg""]",,ALL
0103.91.00.20,Weighing 7 kg or more but less than 23 kg each,"[""No."",""kg""]",,ALL
0103.91.00.30,Weighing 23 kg or more but less than 50 kg each,"[""No."",""kg""]",,ALL
0103.92.00,Weighing 50 kg or more each,,Free,ALL
