hs_code,add_tariff_rate,Type,applicable_origin
7206,50%,Steel,All
7207,50%,Steel,All
7208,50%,Steel,All
7209,50%,Steel,All
7210,50%,Steel,All
7211,50%,Steel,All
7212,50%,Steel,All
7213,50%,Steel,All
7214,50%,Steel,All
7215,50%,Steel,All
7216.10.00,50%,Steel,All
7216.21.00,50%,Steel,All
7216.22.00,50%,Steel,All
7216.31.00,50%,Steel,All
7216.32.00,50%,Steel,All
7216.33.00,50%,Steel,All
7216.40.00,50%,Steel,All
7216.50.00,50%,Steel,All
7216.99.00,50%,Steel,All
7217,50%,Steel,All
7218,50%,Steel,All
7219,50%,Steel,All
7220,50%,Steel,All
7221,50%,Steel,All
7222,50%,Steel,All
7223,50%,Steel,All
7224,50%,Steel,All
7225,50%,Steel,All
7226,50%,Steel,All
7227,50%,Steel,All
7228,50%,Steel,All
7229,50%,Steel,All
7301.10.00,50%,Steel,All
7302.1,50%,Steel,All
7302.40.00,50%,Steel,All
7302.9,50%,Steel,All
7304,50%,Steel,All
7305,50%,Steel,All
7306,50%,Steel,All
7216.91.00.10,50%,Steel Derivatives,All
7301.20.10,50%,Steel Derivatives,All
7301.20.50,50%,Steel Derivatives,All
7302.30.00,50%,Steel Derivatives,All
7307.19.30,50%,Steel Derivatives,All
7307.19.90,50%,Steel Derivatives,All
7307.21.10,50%,Steel Derivatives,All
7307.21.50,50%,Steel Derivatives,All
7307.22.10,50%,Steel Derivatives,All
7307.22.50,50%,Steel Derivatives,All
7307.23.00,50%,Steel Derivatives,All
7307.29.00,50%,Steel Derivatives,All
7307.91.10,50%,Steel Derivatives,All
7307.91.30,50%,Steel Derivatives,All
7307.91.50,50%,Steel Derivatives,All
7307.92.30,50%,Steel Derivatives,All
7307.92.90,50%,Steel Derivatives,All
7307.93.30,50%,Steel Derivatives,All
7307.93.60,50%,Steel Derivatives,All
7307.93.90,50%,Steel Derivatives,All
7307.99.10,50%,Steel Derivatives,All
7307.99.30,50%,Steel Derivatives,All
7307.99.50,50%,Steel Derivatives,All
7308.10.00,50%,Steel Derivatives,All
7308.20.00,50%,Steel Derivatives,All
7308.30.10,50%,Steel Derivatives,All
7308.30.50,50%,Steel Derivatives,All
7308.40.00,50%,Steel Derivatives,All
7308.90.30,50%,Steel Derivatives,All
7308.90.60,50%,Steel Derivatives,All
7308.90.70,50%,Steel Derivatives,All
7308.90.95,50%,Steel Derivatives,All
7309.00.00,50%,Steel Derivatives,All
7310.10.00,50%,Steel Derivatives,All
